Year,STATE/UT,DISTRICT,Assault_on_women_with_intent_to_outrage_her_modesty
2006,maharashtra,ratnagiri,32
2007,maharashtra,ratnagiri,33
2008,maharashtra,ratnagiri,33
2009,maharashtra,ratnagiri,36
2010,maharashtra,ratnagiri,37
2011,maharashtra,ratnagiri,35
2012,maharashtra,ratnagiri,31
2013,maharashtra,ratnagiri,82
2001,odisha,rayagada,33
2002,odisha,rayagada,56
2003,odisha,rayagada,44
2004,odisha,rayagada,59
2005,odisha,rayagada,44
2006,odisha,rayagada,53
2007,odisha,rayagada,71
2008,odisha,rayagada,54
2009,odisha,rayagada,55
2010,odisha,rayagada,79
2011,odisha,rayagada,106
2012,odisha,rayagada,111
2013,odisha,rayagada,136
2001,jammu&kashmir,reasi,5
2002,jammu&kashmir,reasi,3
2003,jammu&kashmir,reasi,2
2004,jammu&kashmir,reasi,5
2005,jammu&kashmir,reasi,2
2006,jammu&kashmir,reasi,9
2007,jammu&kashmir,reasi,10
2008,jammu&kashmir,reasi,11
2009,jammu&kashmir,reasi,10
2010,jammu&kashmir,reasi,13
2011,jammu&kashmir,reasi,11
2012,jammu&kashmir,reasi,14
2013,jammu&kashmir,reasi,5
2001,madhyapradesh,rewa,105
2002,madhyapradesh,rewa,95
2003,madhyapradesh,rewa,110
2004,madhyapradesh,rewa,123
2005,madhyapradesh,rewa,107
2006,madhyapradesh,rewa,125
2007,madhyapradesh,rewa,119
2008,madhyapradesh,rewa,124
2009,madhyapradesh,rewa,119
2010,madhyapradesh,rewa,140
2011,madhyapradesh,rewa,122
2012,madhyapradesh,rewa,115
2013,madhyapradesh,rewa,178
2001,haryana,rewari,17
2002,haryana,rewari,15
2003,haryana,rewari,22
2004,haryana,rewari,24
2005,haryana,rewari,21
2006,haryana,rewari,23
2007,haryana,rewari,30
2008,haryana,rewari,31
2009,haryana,rewari,19
2010,haryana,rewari,16
2011,haryana,rewari,19
2012,haryana,rewari,16
2013,haryana,rewari,62
2001,meghalaya,ri-bhoi,2
2002,meghalaya,ri-bhoi,0
2003,meghalaya,ri-bhoi,0
2004,meghalaya,ri-bhoi,2
2005,meghalaya,ri-bhoi,6
2006,meghalaya,ri-bhoi,8
2007,meghalaya,ri-bhoi,11
2008,meghalaya,ri-bhoi,9
2009,meghalaya,ri-bhoi,4
2010,meghalaya,ri-bhoi,6
2011,meghalaya,ri-bhoi,4
2012,meghalaya,ri-bhoi,4
2013,meghalaya,ri-bhoi,8
2001,haryana,rohtak,26
2002,haryana,rohtak,14
2003,haryana,rohtak,12
2004,haryana,rohtak,14
2005,haryana,rohtak,17
2006,haryana,rohtak,13
2007,haryana,rohtak,18
2008,haryana,rohtak,25
2009,haryana,rohtak,30
2010,haryana,rohtak,26
2011,haryana,rohtak,38
2012,haryana,rohtak,24
2013,haryana,rohtak,55
2001,bihar,rohtas,21
2002,bihar,rohtas,4
2003,bihar,rohtas,30
2004,bihar,rohtas,38
2005,bihar,rohtas,12
2006,bihar,rohtas,9
2007,bihar,rohtas,21
2008,bihar,rohtas,15
2009,bihar,rohtas,38
2010,bihar,rohtas,49
2011,bihar,rohtas,46
2012,bihar,rohtas,15
2013,bihar,rohtas,5
2001,punjab,ropar,13
2002,punjab,ropar,17
2003,punjab,ropar,14
2004,punjab,ropar,12
2005,punjab,ropar,16
2006,punjab,ropar,9
2007,punjab,ropar,11
2008,punjab,ropar,18
2009,punjab,ropar,9
2010,punjab,ropar,14
2011,punjab,ropar,9
2012,punjab,ropar,13
2013,punjab,ropar,29
2001,odisha,rourkela,35
2002,odisha,rourkela,44
2003,odisha,rourkela,31
2004,odisha,rourkela,56
2005,odisha,rourkela,51
2006,odisha,rourkela,81
2007,odisha,rourkela,60
2008,odisha,rourkela,98
2009,odisha,rourkela,83
2010,odisha,rourkela,71
2011,odisha,rourkela,63
2012,odisha,rourkela,102
2013,odisha,rourkela,134
2001,uttarakhand,rudra_prayag,3
2002,uttarakhand,rudra_prayag,7
2003,uttarakhand,rudra_prayag,2
2004,uttarakhand,rudra_prayag,5
2005,uttarakhand,rudra_prayag,5
2006,uttarakhand,rudra_prayag,3
2007,uttarakhand,rudra_prayag,6
2008,uttarakhand,rudra_prayag,0
2009,uttarakhand,rudra_prayag,0
2010,uttarakhand,rudra_prayag,3
2011,uttarakhand,rudra_prayag,6
2012,uttarakhand,rudra_prayag,5
2013,uttarakhand,rudra_prayag,1
2001,madhyapradesh,sagar,509
2002,madhyapradesh,sagar,425
2003,madhyapradesh,sagar,388
2004,madhyapradesh,sagar,338
2005,madhyapradesh,sagar,362
2006,madhyapradesh,sagar,284
2007,madhyapradesh,sagar,345
2008,madhyapradesh,sagar,349
2009,madhyapradesh,sagar,361
2010,madhyapradesh,sagar,385
2011,madhyapradesh,sagar,416
2012,madhyapradesh,sagar,441
2013,madhyapradesh,sagar,422
2001,uttarpradesh,saharanpur,45
2002,uttarpradesh,saharanpur,19
2003,uttarpradesh,saharanpur,17
2004,uttarpradesh,saharanpur,28
2005,uttarpradesh,saharanpur,35
2006,uttarpradesh,saharanpur,42
2007,uttarpradesh,saharanpur,36
2008,uttarpradesh,saharanpur,23
2009,uttarpradesh,saharanpur,29
2010,uttarpradesh,saharanpur,20
2011,uttarpradesh,saharanpur,16
2012,uttarpradesh,saharanpur,17
2013,uttarpradesh,saharanpur,90
2001,bihar,saharsa,9
2002,bihar,saharsa,16
2003,bihar,saharsa,14
2004,bihar,saharsa,39
2005,bihar,saharsa,19
2006,bihar,saharsa,21
2007,bihar,saharsa,31
2008,bihar,saharsa,75
2009,bihar,saharsa,36
2010,bihar,saharsa,39
2011,bihar,saharsa,35
2012,bihar,saharsa,0
2013,bihar,saharsa,0
2001,jharkhand,sahebganj,23
2002,jharkhand,sahebganj,22
2003,jharkhand,sahebganj,17
2004,jharkhand,sahebganj,22
2005,jharkhand,sahebganj,6
2006,jharkhand,sahebganj,19
2007,jharkhand,sahebganj,18
2008,jharkhand,sahebganj,14
2009,jharkhand,sahebganj,16
2010,jharkhand,sahebganj,12
2011,jharkhand,sahebganj,4
2012,jharkhand,sahebganj,11
2013,jharkhand,sahebganj,13
2001,mizoram,saiha,6
2002,mizoram,saiha,14
2003,mizoram,saiha,11
2004,mizoram,saiha,10
2005,mizoram,saiha,9
2006,mizoram,saiha,3
2007,mizoram,saiha,3
2008,mizoram,saiha,1
2009,mizoram,saiha,0
2010,mizoram,saiha,1
2011,mizoram,saiha,5
2012,mizoram,saiha,1
2013,mizoram,saiha,1
2001,tamilnadu,salem_rural,53
2002,tamilnadu,salem_rural,54
2003,tamilnadu,salem_rural,167
2004,tamilnadu,salem_rural,337
2005,tamilnadu,salem_rural,218
2006,tamilnadu,salem_rural,71
2007,tamilnadu,salem_rural,125
2008,tamilnadu,salem_rural,217
2009,tamilnadu,salem_rural,90
2010,tamilnadu,salem_rural,165
2011,tamilnadu,salem_rural,108
2012,tamilnadu,salem_rural,87
2013,tamilnadu,salem_rural,62
2001,tamilnadu,salem_urban,7
2002,tamilnadu,salem_urban,3
2003,tamilnadu,salem_urban,11
2004,tamilnadu,salem_urban,5
2005,tamilnadu,salem_urban,9
2006,tamilnadu,salem_urban,3
2007,tamilnadu,salem_urban,14
2008,tamilnadu,salem_urban,16
2009,tamilnadu,salem_urban,13
2010,tamilnadu,salem_urban,25
2011,tamilnadu,salem_urban,21
2012,tamilnadu,salem_urban,12
2013,tamilnadu,salem_urban,10
2001,bihar,samastipur,17
2002,bihar,samastipur,4
2003,bihar,samastipur,11
2004,bihar,samastipur,9
2005,bihar,samastipur,10
2006,bihar,samastipur,11
2007,bihar,samastipur,11
2008,bihar,samastipur,15
2009,bihar,samastipur,21
2010,bihar,samastipur,7
2011,bihar,samastipur,9
2012,bihar,samastipur,0
2013,bihar,samastipur,8
2001,odisha,sambalpur,82
2002,odisha,sambalpur,84
2003,odisha,sambalpur,61
2004,odisha,sambalpur,57
2005,odisha,sambalpur,76
2006,odisha,sambalpur,106
2007,odisha,sambalpur,70
2008,odisha,sambalpur,82
2009,odisha,sambalpur,38
2010,odisha,sambalpur,34
2011,odisha,sambalpur,48
2012,odisha,sambalpur,62
2013,odisha,sambalpur,63
2001,maharashtra,sangli,54
2002,maharashtra,sangli,38
2003,maharashtra,sangli,39
2004,maharashtra,sangli,31
2005,maharashtra,sangli,55
2006,maharashtra,sangli,51
2007,maharashtra,sangli,72
2008,maharashtra,sangli,67
2009,maharashtra,sangli,45
2010,maharashtra,sangli,67
2011,maharashtra,sangli,51
2012,maharashtra,sangli,57
2013,maharashtra,sangli,141
2001,punjab,sangrur,18
2002,punjab,sangrur,19
2003,punjab,sangrur,14
2004,punjab,sangrur,13
2005,punjab,sangrur,14
2006,punjab,sangrur,18
2007,punjab,sangrur,31
2008,punjab,sangrur,15
2009,punjab,sangrur,6
2010,punjab,sangrur,18
2011,punjab,sangrur,10
2012,punjab,sangrur,24
2013,punjab,sangrur,48
2001,uttarpradesh,sant_kabirnagar,11
2002,uttarpradesh,sant_kabirnagar,6
2003,uttarpradesh,sant_kabirnagar,5
2004,uttarpradesh,sant_kabirnagar,1
2005,uttarpradesh,sant_kabirnagar,2
2006,uttarpradesh,sant_kabirnagar,7
2007,uttarpradesh,sant_kabirnagar,13
2008,uttarpradesh,sant_kabirnagar,5
2009,uttarpradesh,sant_kabirnagar,9
2010,uttarpradesh,sant_kabirnagar,17
2011,uttarpradesh,sant_kabirnagar,12
2012,uttarpradesh,sant_kabirnagar,5
2013,uttarpradesh,sant_kabirnagar,17
2001,jharkhand,saraikela,18
2002,jharkhand,saraikela,4
2003,jharkhand,saraikela,14
2004,jharkhand,saraikela,4
2005,jharkhand,saraikela,6
2006,jharkhand,saraikela,4
2007,jharkhand,saraikela,2
2008,jharkhand,saraikela,8
2009,jharkhand,saraikela,1
2010,jharkhand,saraikela,8
2011,jharkhand,saraikela,9
2012,jharkhand,saraikela,10
2013,jharkhand,saraikela,24
2001,bihar,saran,22
2002,bihar,saran,0
2003,bihar,saran,17
2004,bihar,saran,12
2005,bihar,saran,4
2006,bihar,saran,49
2007,bihar,saran,4
2008,bihar,saran,10
2009,bihar,saran,20
2010,bihar,saran,24
2011,bihar,saran,46
2012,bihar,saran,0
2013,bihar,saran,0
2001,chhattisgarh,sarguja,223
2002,chhattisgarh,sarguja,180
2003,chhattisgarh,sarguja,135
2004,chhattisgarh,sarguja,148
2005,chhattisgarh,sarguja,77
2006,chhattisgarh,sarguja,72
2007,chhattisgarh,sarguja,78
2008,chhattisgarh,sarguja,89
2009,chhattisgarh,sarguja,86
2010,chhattisgarh,sarguja,99
2011,chhattisgarh,sarguja,114
2012,chhattisgarh,sarguja,89
2013,chhattisgarh,sarguja,118
2001,maharashtra,satara,49
2002,maharashtra,satara,51
2003,maharashtra,satara,42
2004,maharashtra,satara,38
2005,maharashtra,satara,61
2006,maharashtra,satara,88
2007,maharashtra,satara,59
2008,maharashtra,satara,66
2009,maharashtra,satara,57
2010,maharashtra,satara,82
2011,maharashtra,satara,80
2012,maharashtra,satara,78
2013,maharashtra,satara,297
2001,madhyapradesh,satna,157
2002,madhyapradesh,satna,173
2003,madhyapradesh,satna,187
2004,madhyapradesh,satna,180
2005,madhyapradesh,satna,195
2006,madhyapradesh,satna,198
2007,madhyapradesh,satna,191
2008,madhyapradesh,satna,207
2009,madhyapradesh,satna,194
2010,madhyapradesh,satna,199
2011,madhyapradesh,satna,177
2012,madhyapradesh,satna,138
2013,madhyapradesh,satna,204
2001,rajasthan,sawai_madhopur,49
2002,rajasthan,sawai_madhopur,59
2003,rajasthan,sawai_madhopur,56
2004,rajasthan,sawai_madhopur,45
2005,rajasthan,sawai_madhopur,28
2006,rajasthan,sawai_madhopur,44
2007,rajasthan,sawai_madhopur,33
2008,rajasthan,sawai_madhopur,29
2009,rajasthan,sawai_madhopur,18
2010,rajasthan,sawai_madhopur,26
2011,rajasthan,sawai_madhopur,43
2012,rajasthan,sawai_madhopur,39
2013,rajasthan,sawai_madhopur,60
2001,westbengal,sealdah_g.r.p.,0
2002,westbengal,sealdah_g.r.p.,1
2003,westbengal,sealdah_g.r.p.,2
2004,westbengal,sealdah_g.r.p.,6
2005,westbengal,sealdah_g.r.p.,5
2006,westbengal,sealdah_g.r.p.,4
2007,westbengal,sealdah_g.r.p.,4
2008,westbengal,sealdah_g.r.p.,1
2009,westbengal,sealdah_g.r.p.,7
2010,westbengal,sealdah_g.r.p.,5
2011,westbengal,sealdah_g.r.p.,7
2012,westbengal,sealdah_g.r.p.,14
2013,westbengal,sealdah_g.r.p.,45
2001,andhrapradesh,secunderabad_rly.,0
2002,andhrapradesh,secunderabad_rly.,0
2003,andhrapradesh,secunderabad_rly.,0
2004,andhrapradesh,secunderabad_rly.,1
2005,andhrapradesh,secunderabad_rly.,1
2006,andhrapradesh,secunderabad_rly.,0
2007,andhrapradesh,secunderabad_rly.,2
2008,andhrapradesh,secunderabad_rly.,1
2009,andhrapradesh,secunderabad_rly.,3
2010,andhrapradesh,secunderabad_rly.,2
2011,andhrapradesh,secunderabad_rly.,5
2012,andhrapradesh,secunderabad_rly.,5
2013,andhrapradesh,secunderabad_rly.,11
2001,manipur,senapati,0
2002,manipur,senapati,0
2003,manipur,senapati,0
2004,manipur,senapati,0
2005,manipur,senapati,0
2006,manipur,senapati,0
2007,manipur,senapati,0
2008,manipur,senapati,0
2009,manipur,senapati,1
2010,manipur,senapati,0
2011,manipur,senapati,0
2012,manipur,senapati,1
2013,manipur,senapati,0
2001,madhyapradesh,seoni,106
2002,madhyapradesh,seoni,116
2003,madhyapradesh,seoni,86
2004,madhyapradesh,seoni,117
2005,madhyapradesh,seoni,142
2006,madhyapradesh,seoni,105
2007,madhyapradesh,seoni,96
2008,madhyapradesh,seoni,103
2009,madhyapradesh,seoni,85
2010,madhyapradesh,seoni,92
2011,madhyapradesh,seoni,111
2012,madhyapradesh,seoni,100
2013,madhyapradesh,seoni,130
2001,mizoram,serchhip,0
2002,mizoram,serchhip,0
2003,mizoram,serchhip,9
2004,mizoram,serchhip,2
2005,mizoram,serchhip,6
2006,mizoram,serchhip,2
2007,mizoram,serchhip,1
2008,mizoram,serchhip,7
2009,mizoram,serchhip,7
2010,mizoram,serchhip,6
2011,mizoram,serchhip,4
2012,mizoram,serchhip,9
2013,mizoram,serchhip,7
2001,madhyapradesh,shahdol,216
2002,madhyapradesh,shahdol,259
2003,madhyapradesh,shahdol,221
2004,madhyapradesh,shahdol,135
2005,madhyapradesh,shahdol,156
2006,madhyapradesh,shahdol,140
2007,madhyapradesh,shahdol,128
2008,madhyapradesh,shahdol,139
2009,madhyapradesh,shahdol,113
2010,madhyapradesh,shahdol,123
2011,madhyapradesh,shahdol,143
2012,madhyapradesh,shahdol,133
2013,madhyapradesh,shahdol,216
2001,uttarpradesh,shahjahanpur,61
2002,uttarpradesh,shahjahanpur,52
2003,uttarpradesh,shahjahanpur,17
2004,uttarpradesh,shahjahanpur,49
2005,uttarpradesh,shahjahanpur,40
2006,uttarpradesh,shahjahanpur,21
2007,uttarpradesh,shahjahanpur,84
2008,uttarpradesh,shahjahanpur,80
2009,uttarpradesh,shahjahanpur,53
2010,uttarpradesh,shahjahanpur,44
2011,uttarpradesh,shahjahanpur,54
2012,uttarpradesh,shahjahanpur,48
2013,uttarpradesh,shahjahanpur,104
2001,madhyapradesh,shajapur,153
2002,madhyapradesh,shajapur,144
2003,madhyapradesh,shajapur,166
2004,madhyapradesh,shajapur,180
2005,madhyapradesh,shajapur,173
2006,madhyapradesh,shajapur,150
2007,madhyapradesh,shajapur,163
2008,madhyapradesh,shajapur,161
2009,madhyapradesh,shajapur,138
2010,madhyapradesh,shajapur,117
2011,madhyapradesh,shajapur,135
2012,madhyapradesh,shajapur,102
2013,madhyapradesh,shajapur,113
2001,bihar,sheikhpura,0
2002,bihar,sheikhpura,8
2003,bihar,sheikhpura,0
2004,bihar,sheikhpura,14
2005,bihar,sheikhpura,0
2006,bihar,sheikhpura,4
2007,bihar,sheikhpura,5
2008,bihar,sheikhpura,1
2009,bihar,sheikhpura,0
2010,bihar,sheikhpura,0
2011,bihar,sheikhpura,0
2012,bihar,sheikhpura,0
2013,bihar,sheikhpura,0
2001,bihar,sheohar,0
2002,bihar,sheohar,1
2003,bihar,sheohar,3
2004,bihar,sheohar,9
2005,bihar,sheohar,2
2006,bihar,sheohar,2
2007,bihar,sheohar,13
2008,bihar,sheohar,4
2009,bihar,sheohar,6
2010,bihar,sheohar,2
2011,bihar,sheohar,3
2012,bihar,sheohar,3
2013,bihar,sheohar,0
2001,madhyapradesh,sheopur,52
2002,madhyapradesh,sheopur,68
2003,madhyapradesh,sheopur,51
2004,madhyapradesh,sheopur,51
2005,madhyapradesh,sheopur,42
2006,madhyapradesh,sheopur,34
2007,madhyapradesh,sheopur,38
2008,madhyapradesh,sheopur,32
2009,madhyapradesh,sheopur,18
2010,madhyapradesh,sheopur,35
2011,madhyapradesh,sheopur,28
2012,madhyapradesh,sheopur,40
2013,madhyapradesh,sheopur,45
2001,himachalpradesh,shimla,50
2002,himachalpradesh,shimla,49
2003,himachalpradesh,shimla,40
2004,himachalpradesh,shimla,43
2005,himachalpradesh,shimla,51
2006,himachalpradesh,shimla,39
2007,himachalpradesh,shimla,46
2008,himachalpradesh,shimla,31
2009,himachalpradesh,shimla,32
2010,himachalpradesh,shimla,27
2011,himachalpradesh,shimla,45
2012,himachalpradesh,shimla,28
2013,himachalpradesh,shimla,63
2001,karnataka,shimoga,65
2002,karnataka,shimoga,59
2003,karnataka,shimoga,73
2004,karnataka,shimoga,60
2005,karnataka,shimoga,88
2006,karnataka,shimoga,61
2007,karnataka,shimoga,81
2008,karnataka,shimoga,101
2009,karnataka,shimoga,137
2010,karnataka,shimoga,113
2011,karnataka,shimoga,123
2012,karnataka,shimoga,158
2013,karnataka,shimoga,267
2001,madhyapradesh,shivpuri,172
2002,madhyapradesh,shivpuri,180
2003,madhyapradesh,shivpuri,130
2004,madhyapradesh,shivpuri,113
2005,madhyapradesh,shivpuri,99
2006,madhyapradesh,shivpuri,170
2007,madhyapradesh,shivpuri,152
2008,madhyapradesh,shivpuri,128
2009,madhyapradesh,shivpuri,124
2010,madhyapradesh,shivpuri,131
2011,madhyapradesh,shivpuri,168
2012,madhyapradesh,shivpuri,148
2013,madhyapradesh,shivpuri,211
2001,uttarpradesh,shrawasti,16
2002,uttarpradesh,shrawasti,16
2003,uttarpradesh,shrawasti,2
2004,uttarpradesh,shrawasti,7
2005,uttarpradesh,shrawasti,5
2006,uttarpradesh,shrawasti,12
2007,uttarpradesh,shrawasti,12
2008,uttarpradesh,shrawasti,13
2009,uttarpradesh,shrawasti,27
2010,uttarpradesh,shrawasti,19
2011,uttarpradesh,shrawasti,26
2012,uttarpradesh,shrawasti,20
2013,uttarpradesh,shrawasti,53
2001,arunachalpradesh,siang_east,7
2002,arunachalpradesh,siang_east,14
2003,arunachalpradesh,siang_east,4
2004,arunachalpradesh,siang_east,11
2005,arunachalpradesh,siang_east,15
2006,arunachalpradesh,siang_east,11
2007,arunachalpradesh,siang_east,12
2008,arunachalpradesh,siang_east,6
2009,arunachalpradesh,siang_east,6
2010,arunachalpradesh,siang_east,8
2011,arunachalpradesh,siang_east,7
2012,arunachalpradesh,siang_east,4
2013,arunachalpradesh,siang_east,6
2001,arunachalpradesh,siang_upper,3
2002,arunachalpradesh,siang_upper,0
2003,arunachalpradesh,siang_upper,0
2004,arunachalpradesh,siang_upper,2
2005,arunachalpradesh,siang_upper,8
2006,arunachalpradesh,siang_upper,6
2007,arunachalpradesh,siang_upper,2
2008,arunachalpradesh,siang_upper,1
2009,arunachalpradesh,siang_upper,1
2010,arunachalpradesh,siang_upper,2
2011,arunachalpradesh,siang_upper,3
2012,arunachalpradesh,siang_upper,0
2013,arunachalpradesh,siang_upper,4
2001,arunachalpradesh,siang_west,25
2002,arunachalpradesh,siang_west,18
2003,arunachalpradesh,siang_west,6
2004,arunachalpradesh,siang_west,8
2005,arunachalpradesh,siang_west,5
2006,arunachalpradesh,siang_west,13
2007,arunachalpradesh,siang_west,5
2008,arunachalpradesh,siang_west,6
2009,arunachalpradesh,siang_west,6
2010,arunachalpradesh,siang_west,16
2011,arunachalpradesh,siang_west,8
2012,arunachalpradesh,siang_west,6
2013,arunachalpradesh,siang_west,9
2001,assam,sibsagar,28
2002,assam,sibsagar,28
2003,assam,sibsagar,15
2004,assam,sibsagar,12
2005,assam,sibsagar,68
2006,assam,sibsagar,65
2007,assam,sibsagar,24
2008,assam,sibsagar,27
2009,assam,sibsagar,52
2010,assam,sibsagar,85
2011,assam,sibsagar,78
2012,assam,sibsagar,134
2013,assam,sibsagar,53
2001,uttarpradesh,sidharthnagar,20
2002,uttarpradesh,sidharthnagar,19
2003,uttarpradesh,sidharthnagar,4
2004,uttarpradesh,sidharthnagar,13
2005,uttarpradesh,sidharthnagar,13
2006,uttarpradesh,sidharthnagar,12
2007,uttarpradesh,sidharthnagar,13
2008,uttarpradesh,sidharthnagar,30
2009,uttarpradesh,sidharthnagar,23
2010,uttarpradesh,sidharthnagar,17
2011,uttarpradesh,sidharthnagar,21
2012,uttarpradesh,sidharthnagar,13
2013,uttarpradesh,sidharthnagar,26
2001,madhyapradesh,sidhi,105
2002,madhyapradesh,sidhi,131
2003,madhyapradesh,sidhi,121
2004,madhyapradesh,sidhi,161
2005,madhyapradesh,sidhi,132
2006,madhyapradesh,sidhi,129
2007,madhyapradesh,sidhi,184
2008,madhyapradesh,sidhi,83
2009,madhyapradesh,sidhi,80
2010,madhyapradesh,sidhi,104
2011,madhyapradesh,sidhi,93
2012,madhyapradesh,sidhi,84
2013,madhyapradesh,sidhi,116
2001,madhyapradesh,sihore,130
2002,madhyapradesh,sihore,115
2003,madhyapradesh,sihore,87
2004,madhyapradesh,sihore,90
2005,madhyapradesh,sihore,76
2006,madhyapradesh,sihore,99
2007,madhyapradesh,sihore,94
2008,madhyapradesh,sihore,89
2009,madhyapradesh,sihore,88
2010,madhyapradesh,sihore,135
2011,madhyapradesh,sihore,119
2012,madhyapradesh,sihore,100
2013,madhyapradesh,sihore,116
2001,rajasthan,sikar,28
2002,rajasthan,sikar,42
2003,rajasthan,sikar,44
2004,rajasthan,sikar,38
2005,rajasthan,sikar,22
2006,rajasthan,sikar,31
2007,rajasthan,sikar,32
2008,rajasthan,sikar,18
2009,rajasthan,sikar,18
2010,rajasthan,sikar,11
2011,rajasthan,sikar,11
2012,rajasthan,sikar,22
2013,rajasthan,sikar,50
2001,westbengal,siliguri_g.r.p.,1
2002,westbengal,siliguri_g.r.p.,1
2003,westbengal,siliguri_g.r.p.,1
2004,westbengal,siliguri_g.r.p.,4
2005,westbengal,siliguri_g.r.p.,2
2006,westbengal,siliguri_g.r.p.,1
2007,westbengal,siliguri_g.r.p.,1
2008,westbengal,siliguri_g.r.p.,2
2009,westbengal,siliguri_g.r.p.,3
2010,westbengal,siliguri_g.r.p.,3
2011,westbengal,siliguri_g.r.p.,4
2012,westbengal,siliguri_g.r.p.,8
2013,westbengal,siliguri_g.r.p.,11
2001,jharkhand,simdega,0
2002,jharkhand,simdega,0
2003,jharkhand,simdega,3
2004,jharkhand,simdega,0
2005,jharkhand,simdega,2
2006,jharkhand,simdega,10
2007,jharkhand,simdega,1
2008,jharkhand,simdega,0
2009,jharkhand,simdega,3
2010,jharkhand,simdega,3
2011,jharkhand,simdega,6
2012,jharkhand,simdega,5
2013,jharkhand,simdega,9
2001,maharashtra,sindhudurg,20
2002,maharashtra,sindhudurg,14
2003,maharashtra,sindhudurg,16
2004,maharashtra,sindhudurg,18
2005,maharashtra,sindhudurg,20
2006,maharashtra,sindhudurg,13
2007,maharashtra,sindhudurg,13
2008,maharashtra,sindhudurg,34
2009,maharashtra,sindhudurg,12
2010,maharashtra,sindhudurg,10
2011,maharashtra,sindhudurg,8
2012,maharashtra,sindhudurg,20
2013,maharashtra,sindhudurg,50
2001,himachalpradesh,sirmaur,33
2002,himachalpradesh,sirmaur,34
2003,himachalpradesh,sirmaur,24
2004,himachalpradesh,sirmaur,23
2005,himachalpradesh,sirmaur,20
2006,himachalpradesh,sirmaur,23
2007,himachalpradesh,sirmaur,26
2008,himachalpradesh,sirmaur,19
2009,himachalpradesh,sirmaur,34
2010,himachalpradesh,sirmaur,36
2011,himachalpradesh,sirmaur,33
2012,himachalpradesh,sirmaur,24
2013,himachalpradesh,sirmaur,40
2001,rajasthan,sirohi,29
2002,rajasthan,sirohi,33
2003,rajasthan,sirohi,37
2004,rajasthan,sirohi,44
2005,rajasthan,sirohi,51
2006,rajasthan,sirohi,50
2007,rajasthan,sirohi,51
2008,rajasthan,sirohi,66
2009,rajasthan,sirohi,64
2010,rajasthan,sirohi,63
2011,rajasthan,sirohi,76
2012,rajasthan,sirohi,74
2013,rajasthan,sirohi,109
2001,haryana,sirsa,23
2002,haryana,sirsa,30
2003,haryana,sirsa,10
2004,haryana,sirsa,17
2005,haryana,sirsa,17
2006,haryana,sirsa,14
2007,haryana,sirsa,21
2008,haryana,sirsa,14
2009,haryana,sirsa,10
2010,haryana,sirsa,9
2011,haryana,sirsa,26
2012,haryana,sirsa,25
2013,haryana,sirsa,58
2001,bihar,sitamarhi,1
2002,bihar,sitamarhi,26
2003,bihar,sitamarhi,6
2004,bihar,sitamarhi,9
2005,bihar,sitamarhi,12
2006,bihar,sitamarhi,19
2007,bihar,sitamarhi,13
2008,bihar,sitamarhi,18
2009,bihar,sitamarhi,20
2010,bihar,sitamarhi,18
2011,bihar,sitamarhi,14
2012,bihar,sitamarhi,0
2013,bihar,sitamarhi,3
2001,uttarpradesh,sitapur,71
2002,uttarpradesh,sitapur,65
2003,uttarpradesh,sitapur,53
2004,uttarpradesh,sitapur,73
2005,uttarpradesh,sitapur,72
2006,uttarpradesh,sitapur,68
2007,uttarpradesh,sitapur,69
2008,uttarpradesh,sitapur,47
2009,uttarpradesh,sitapur,74
2010,uttarpradesh,sitapur,54
2011,uttarpradesh,sitapur,131
2012,uttarpradesh,sitapur,94
2013,uttarpradesh,sitapur,211
2001,tamilnadu,sivagangai,17
2002,tamilnadu,sivagangai,22
2003,tamilnadu,sivagangai,17
2004,tamilnadu,sivagangai,16
2005,tamilnadu,sivagangai,8
2006,tamilnadu,sivagangai,8
2007,tamilnadu,sivagangai,4
2008,tamilnadu,sivagangai,7
2009,tamilnadu,sivagangai,11
2010,tamilnadu,sivagangai,16
2011,tamilnadu,sivagangai,33
2012,tamilnadu,sivagangai,37
2013,tamilnadu,sivagangai,35
2001,bihar,siwan,6
2002,bihar,siwan,8
2003,bihar,siwan,36
2004,bihar,siwan,6
2005,bihar,siwan,8
2006,bihar,siwan,12
2007,bihar,siwan,9
2008,bihar,siwan,9
2009,bihar,siwan,6
2010,bihar,siwan,10
2011,bihar,siwan,4
2012,bihar,siwan,2
2013,bihar,siwan,1
2001,himachalpradesh,solan,23
2002,himachalpradesh,solan,28
2003,himachalpradesh,solan,24
2004,himachalpradesh,solan,27
2005,himachalpradesh,solan,22
2006,himachalpradesh,solan,28
2007,himachalpradesh,solan,26
2008,himachalpradesh,solan,13
2009,himachalpradesh,solan,13
2010,himachalpradesh,solan,12
2011,himachalpradesh,solan,8
2012,himachalpradesh,solan,13
2013,himachalpradesh,solan,19
2001,maharashtra,solapur_commr.,15
2002,maharashtra,solapur_commr.,10
2003,maharashtra,solapur_commr.,19
2004,maharashtra,solapur_commr.,13
2005,maharashtra,solapur_commr.,17
2006,maharashtra,solapur_commr.,22
2007,maharashtra,solapur_commr.,15
2008,maharashtra,solapur_commr.,17
2009,maharashtra,solapur_commr.,10
2010,maharashtra,solapur_commr.,22
2011,maharashtra,solapur_commr.,31
2012,maharashtra,solapur_commr.,31
2013,maharashtra,solapur_commr.,53
