Year,STATE/UT,DISTRICT,Dowry_Deaths
2009,jharkhand,dhanbad_rly.,0
2010,jharkhand,dhanbad_rly.,1
2011,jharkhand,dhanbad_rly.,3
2012,jharkhand,dhanbad_rly.,1
2013,jharkhand,dhanbad_rly.,0
2001,madhyapradesh,dhar,41
2002,madhyapradesh,dhar,53
2003,madhyapradesh,dhar,40
2004,madhyapradesh,dhar,48
2005,madhyapradesh,dhar,41
2006,madhyapradesh,dhar,30
2007,madhyapradesh,dhar,35
2008,madhyapradesh,dhar,37
2009,madhyapradesh,dhar,41
2010,madhyapradesh,dhar,54
2011,madhyapradesh,dhar,62
2012,madhyapradesh,dhar,39
2013,madhyapradesh,dhar,48
2001,tamilnadu,dharmapuri,6
2002,tamilnadu,dharmapuri,14
2003,tamilnadu,dharmapuri,16
2004,tamilnadu,dharmapuri,2
2005,tamilnadu,dharmapuri,5
2006,tamilnadu,dharmapuri,4
2007,tamilnadu,dharmapuri,4
2008,tamilnadu,dharmapuri,2
2009,tamilnadu,dharmapuri,6
2010,tamilnadu,dharmapuri,6
2011,tamilnadu,dharmapuri,0
2012,tamilnadu,dharmapuri,1
2013,tamilnadu,dharmapuri,2
2001,karnataka,dharwad_commr.,2
2002,karnataka,dharwad_commr.,5
2003,karnataka,dharwad_commr.,3
2004,karnataka,dharwad_commr.,3
2005,karnataka,dharwad_commr.,3
2006,karnataka,dharwad_commr.,1
2007,karnataka,dharwad_commr.,3
2008,karnataka,dharwad_commr.,1
2009,karnataka,dharwad_commr.,5
2010,karnataka,dharwad_commr.,0
2011,karnataka,dharwad_commr.,3
2012,karnataka,dharwad_commr.,2
2013,karnataka,dharwad_commr.,4
2001,karnataka,dharwad_rural,3
2002,karnataka,dharwad_rural,4
2003,karnataka,dharwad_rural,3
2004,karnataka,dharwad_rural,2
2005,karnataka,dharwad_rural,5
2006,karnataka,dharwad_rural,1
2007,karnataka,dharwad_rural,0
2008,karnataka,dharwad_rural,3
2009,karnataka,dharwad_rural,3
2010,karnataka,dharwad_rural,0
2011,karnataka,dharwad_rural,2
2012,karnataka,dharwad_rural,0
2013,karnataka,dharwad_rural,1
2001,assam,dhemaji,0
2002,assam,dhemaji,1
2003,assam,dhemaji,0
2004,assam,dhemaji,0
2005,assam,dhemaji,4
2006,assam,dhemaji,1
2007,assam,dhemaji,0
2008,assam,dhemaji,0
2009,assam,dhemaji,1
2010,assam,dhemaji,5
2011,assam,dhemaji,5
2012,assam,dhemaji,2
2013,assam,dhemaji,1
2001,odisha,dhenkanal,14
2002,odisha,dhenkanal,5
2003,odisha,dhenkanal,3
2004,odisha,dhenkanal,12
2005,odisha,dhenkanal,20
2006,odisha,dhenkanal,12
2007,odisha,dhenkanal,25
2008,odisha,dhenkanal,19
2009,odisha,dhenkanal,15
2010,odisha,dhenkanal,7
2011,odisha,dhenkanal,22
2012,odisha,dhenkanal,23
2013,odisha,dhenkanal,17
2001,rajasthan,dholpur,21
2002,rajasthan,dholpur,25
2003,rajasthan,dholpur,21
2004,rajasthan,dholpur,12
2005,rajasthan,dholpur,17
2006,rajasthan,dholpur,25
2007,rajasthan,dholpur,13
2008,rajasthan,dholpur,19
2009,rajasthan,dholpur,32
2010,rajasthan,dholpur,28
2011,rajasthan,dholpur,19
2012,rajasthan,dholpur,30
2013,rajasthan,dholpur,40
2001,assam,dhubri,5
2002,assam,dhubri,4
2003,assam,dhubri,6
2004,assam,dhubri,9
2005,assam,dhubri,10
2006,assam,dhubri,7
2007,assam,dhubri,12
2008,assam,dhubri,4
2009,assam,dhubri,20
2010,assam,dhubri,16
2011,assam,dhubri,12
2012,assam,dhubri,13
2013,assam,dhubri,9
2001,maharashtra,dhule,6
2002,maharashtra,dhule,7
2003,maharashtra,dhule,2
2004,maharashtra,dhule,1
2005,maharashtra,dhule,10
2006,maharashtra,dhule,6
2007,maharashtra,dhule,10
2008,maharashtra,dhule,3
2009,maharashtra,dhule,7
2010,maharashtra,dhule,6
2011,maharashtra,dhule,4
2012,maharashtra,dhule,4
2013,maharashtra,dhule,6
2001,arunachalpradesh,dibang_valley,0
2002,arunachalpradesh,dibang_valley,0
2003,arunachalpradesh,dibang_valley,0
2004,arunachalpradesh,dibang_valley,0
2005,arunachalpradesh,dibang_valley,0
2006,arunachalpradesh,dibang_valley,0
2007,arunachalpradesh,dibang_valley,0
2008,arunachalpradesh,dibang_valley,0
2009,arunachalpradesh,dibang_valley,0
2010,arunachalpradesh,dibang_valley,0
2011,arunachalpradesh,dibang_valley,0
2012,arunachalpradesh,dibang_valley,0
2013,arunachalpradesh,dibang_valley,0
2001,assam,dibrugarh,3
2002,assam,dibrugarh,1
2003,assam,dibrugarh,0
2004,assam,dibrugarh,4
2005,assam,dibrugarh,4
2006,assam,dibrugarh,4
2007,assam,dibrugarh,0
2008,assam,dibrugarh,4
2009,assam,dibrugarh,3
2010,assam,dibrugarh,6
2011,assam,dibrugarh,0
2012,assam,dibrugarh,0
2013,assam,dibrugarh,0
2001,nagaland,dimapur,0
2002,nagaland,dimapur,0
2003,nagaland,dimapur,0
2004,nagaland,dimapur,0
2005,nagaland,dimapur,0
2006,nagaland,dimapur,0
2007,nagaland,dimapur,0
2008,nagaland,dimapur,0
2009,nagaland,dimapur,0
2010,nagaland,dimapur,0
2011,nagaland,dimapur,0
2012,nagaland,dimapur,0
2013,nagaland,dimapur,1
2001,tamilnadu,dindigul,8
2002,tamilnadu,dindigul,2
2003,tamilnadu,dindigul,3
2004,tamilnadu,dindigul,7
2005,tamilnadu,dindigul,5
2006,tamilnadu,dindigul,4
2007,tamilnadu,dindigul,3
2008,tamilnadu,dindigul,3
2009,tamilnadu,dindigul,1
2010,tamilnadu,dindigul,1
2011,tamilnadu,dindigul,3
2012,tamilnadu,dindigul,4
2013,tamilnadu,dindigul,1
2001,madhyapradesh,dindori,0
2002,madhyapradesh,dindori,1
2003,madhyapradesh,dindori,1
2004,madhyapradesh,dindori,1
2005,madhyapradesh,dindori,2
2006,madhyapradesh,dindori,2
2007,madhyapradesh,dindori,3
2008,madhyapradesh,dindori,2
2009,madhyapradesh,dindori,4
2010,madhyapradesh,dindori,4
2011,madhyapradesh,dindori,1
2012,madhyapradesh,dindori,5
2013,madhyapradesh,dindori,6
2001,daman&diu,diu,0
2002,daman&diu,diu,0
2003,daman&diu,diu,1
2004,daman&diu,diu,0
2005,daman&diu,diu,0
2006,daman&diu,diu,0
2007,daman&diu,diu,0
2008,daman&diu,diu,0
2009,daman&diu,diu,0
2010,daman&diu,diu,0
2011,daman&diu,diu,0
2012,daman&diu,diu,0
2013,daman&diu,diu,0
2001,jammu&kashmir,doda,0
2002,jammu&kashmir,doda,0
2003,jammu&kashmir,doda,0
2004,jammu&kashmir,doda,0
2005,jammu&kashmir,doda,0
2006,jammu&kashmir,doda,0
2007,jammu&kashmir,doda,0
2008,jammu&kashmir,doda,0
2009,jammu&kashmir,doda,0
2010,jammu&kashmir,doda,0
2011,jammu&kashmir,doda,0
2012,jammu&kashmir,doda,0
2013,jammu&kashmir,doda,0
2001,jharkhand,dumka,3
2002,jharkhand,dumka,8
2003,jharkhand,dumka,9
2004,jharkhand,dumka,8
2005,jharkhand,dumka,12
2006,jharkhand,dumka,7
2007,jharkhand,dumka,23
2008,jharkhand,dumka,17
2009,jharkhand,dumka,5
2010,jharkhand,dumka,6
2011,jharkhand,dumka,7
2012,jharkhand,dumka,8
2013,jharkhand,dumka,10
2001,rajasthan,dungarpur,3
2002,rajasthan,dungarpur,4
2003,rajasthan,dungarpur,10
2004,rajasthan,dungarpur,5
2005,rajasthan,dungarpur,3
2006,rajasthan,dungarpur,2
2007,rajasthan,dungarpur,2
2008,rajasthan,dungarpur,11
2009,rajasthan,dungarpur,11
2010,rajasthan,dungarpur,5
2011,rajasthan,dungarpur,5
2012,rajasthan,dungarpur,5
2013,rajasthan,dungarpur,6
2001,chhattisgarh,durg,12
2002,chhattisgarh,durg,11
2003,chhattisgarh,durg,13
2004,chhattisgarh,durg,10
2005,chhattisgarh,durg,14
2006,chhattisgarh,durg,19
2007,chhattisgarh,durg,14
2008,chhattisgarh,durg,11
2009,chhattisgarh,durg,8
2010,chhattisgarh,durg,14
2011,chhattisgarh,durg,13
2012,chhattisgarh,durg,9
2013,chhattisgarh,durg,9
2001,sikkim,east,0
2001,delhi,east,11
2002,sikkim,east,0
2002,delhi,east,19
2003,sikkim,east,0
2003,delhi,east,15
2004,sikkim,east,0
2004,delhi,east,13
2005,sikkim,east,0
2005,delhi,east,12
2006,sikkim,east,0
2006,delhi,east,9
2007,sikkim,east,0
2007,delhi,east,16
2008,sikkim,east,0
2008,delhi,east,21
2009,sikkim,east,0
2009,delhi,east,10
2010,sikkim,east,0
2010,delhi,east,12
2011,sikkim,east,0
2011,delhi,east,14
2012,sikkim,east,1
2012,delhi,east,7
2013,sikkim,east,0
2013,delhi,east,11
2001,andhrapradesh,east_godavari,12
2002,andhrapradesh,east_godavari,11
2003,andhrapradesh,east_godavari,11
2004,andhrapradesh,east_godavari,13
2005,andhrapradesh,east_godavari,15
2006,andhrapradesh,east_godavari,25
2007,andhrapradesh,east_godavari,19
2008,andhrapradesh,east_godavari,23
2009,andhrapradesh,east_godavari,23
2010,andhrapradesh,east_godavari,20
2011,andhrapradesh,east_godavari,17
2012,andhrapradesh,east_godavari,17
2013,andhrapradesh,east_godavari,15
2001,tamilnadu,erode,4
2002,tamilnadu,erode,3
2003,tamilnadu,erode,2
2004,tamilnadu,erode,7
2005,tamilnadu,erode,5
2006,tamilnadu,erode,7
2007,tamilnadu,erode,5
2008,tamilnadu,erode,1
2009,tamilnadu,erode,1
2010,tamilnadu,erode,2
2011,tamilnadu,erode,1
2012,tamilnadu,erode,1
2013,tamilnadu,erode,0
2001,uttarpradesh,etah,68
2002,uttarpradesh,etah,81
2003,uttarpradesh,etah,38
2004,uttarpradesh,etah,47
2005,uttarpradesh,etah,43
2006,uttarpradesh,etah,46
2007,uttarpradesh,etah,56
2008,uttarpradesh,etah,34
2009,uttarpradesh,etah,42
2010,uttarpradesh,etah,30
2011,uttarpradesh,etah,30
2012,uttarpradesh,etah,38
2013,uttarpradesh,etah,32
2001,uttarpradesh,etawah,29
2002,uttarpradesh,etawah,25
2003,uttarpradesh,etawah,16
2004,uttarpradesh,etawah,13
2005,uttarpradesh,etawah,29
2006,uttarpradesh,etawah,30
2007,uttarpradesh,etawah,28
2008,uttarpradesh,etawah,28
2009,uttarpradesh,etawah,35
2010,uttarpradesh,etawah,29
2011,uttarpradesh,etawah,42
2012,uttarpradesh,etawah,26
2013,uttarpradesh,etawah,30
2001,uttarpradesh,faizabad,17
2002,uttarpradesh,faizabad,12
2003,uttarpradesh,faizabad,4
2004,uttarpradesh,faizabad,14
2005,uttarpradesh,faizabad,15
2006,uttarpradesh,faizabad,12
2007,uttarpradesh,faizabad,17
2008,uttarpradesh,faizabad,18
2009,uttarpradesh,faizabad,18
2010,uttarpradesh,faizabad,18
2011,uttarpradesh,faizabad,11
2012,uttarpradesh,faizabad,18
2013,uttarpradesh,faizabad,11
2001,haryana,faridabad,19
2002,haryana,faridabad,19
2003,haryana,faridabad,14
2004,haryana,faridabad,28
2005,haryana,faridabad,18
2006,haryana,faridabad,14
2007,haryana,faridabad,19
2008,haryana,faridabad,21
2009,haryana,faridabad,17
2010,haryana,faridabad,23
2011,haryana,faridabad,10
2012,haryana,faridabad,8
2013,haryana,faridabad,22
2001,punjab,faridkot,4
2002,punjab,faridkot,5
2003,punjab,faridkot,2
2004,punjab,faridkot,1
2005,punjab,faridkot,1
2006,punjab,faridkot,5
2007,punjab,faridkot,2
2008,punjab,faridkot,1
2009,punjab,faridkot,3
2010,punjab,faridkot,3
2011,punjab,faridkot,1
2012,punjab,faridkot,2
2013,punjab,faridkot,3
2001,haryana,fatehabad,17
2002,haryana,fatehabad,9
2003,haryana,fatehabad,3
2004,haryana,fatehabad,6
2005,haryana,fatehabad,5
2006,haryana,fatehabad,6
2007,haryana,fatehabad,2
2008,haryana,fatehabad,4
2009,haryana,fatehabad,12
2010,haryana,fatehabad,5
2011,haryana,fatehabad,7
2012,haryana,fatehabad,4
2013,haryana,fatehabad,2
2001,uttarpradesh,fatehgarh,22
2002,uttarpradesh,fatehgarh,32
2003,uttarpradesh,fatehgarh,18
2004,uttarpradesh,fatehgarh,21
2005,uttarpradesh,fatehgarh,14
2006,uttarpradesh,fatehgarh,37
2007,uttarpradesh,fatehgarh,24
2008,uttarpradesh,fatehgarh,26
2009,uttarpradesh,fatehgarh,23
2010,uttarpradesh,fatehgarh,24
2011,uttarpradesh,fatehgarh,25
2012,uttarpradesh,fatehgarh,34
2013,uttarpradesh,fatehgarh,34
2001,punjab,fatehgarh_sahib,4
2002,punjab,fatehgarh_sahib,5
2003,punjab,fatehgarh_sahib,1
2004,punjab,fatehgarh_sahib,4
2005,punjab,fatehgarh_sahib,4
2006,punjab,fatehgarh_sahib,4
2007,punjab,fatehgarh_sahib,5
2008,punjab,fatehgarh_sahib,0
2009,punjab,fatehgarh_sahib,3
2010,punjab,fatehgarh_sahib,1
2011,punjab,fatehgarh_sahib,4
2012,punjab,fatehgarh_sahib,2
2013,punjab,fatehgarh_sahib,1
2001,uttarpradesh,fatehpur,46
2002,uttarpradesh,fatehpur,26
2003,uttarpradesh,fatehpur,24
2004,uttarpradesh,fatehpur,23
2005,uttarpradesh,fatehpur,22
2006,uttarpradesh,fatehpur,27
2007,uttarpradesh,fatehpur,33
2008,uttarpradesh,fatehpur,41
2009,uttarpradesh,fatehpur,38
2010,uttarpradesh,fatehpur,42
2011,uttarpradesh,fatehpur,45
2012,uttarpradesh,fatehpur,41
2013,uttarpradesh,fatehpur,39
2001,uttarpradesh,firozabad,48
2002,uttarpradesh,firozabad,36
2003,uttarpradesh,firozabad,30
2004,uttarpradesh,firozabad,48
2005,uttarpradesh,firozabad,48
2006,uttarpradesh,firozabad,35
2007,uttarpradesh,firozabad,56
2008,uttarpradesh,firozabad,41
2009,uttarpradesh,firozabad,47
2010,uttarpradesh,firozabad,54
2011,uttarpradesh,firozabad,43
2012,uttarpradesh,firozabad,50
2013,uttarpradesh,firozabad,66
2001,punjab,g.r.p,3
2002,punjab,g.r.p,2
2003,punjab,g.r.p,3
2004,punjab,g.r.p,1
2005,punjab,g.r.p,2
2006,punjab,g.r.p,3
2007,punjab,g.r.p,2
2008,punjab,g.r.p,4
2009,punjab,g.r.p,2
2010,punjab,g.r.p,1
2011,punjab,g.r.p,0
2012,punjab,g.r.p,2
2013,punjab,g.r.p,0
2001,assam,g.r.p.,0
2001,himachalpradesh,g.r.p.,0
2001,rajasthan,g.r.p.,0
2001,uttarpradesh,g.r.p.,1
2002,assam,g.r.p.,0
2002,himachalpradesh,g.r.p.,0
2002,rajasthan,g.r.p.,2
2002,uttarpradesh,g.r.p.,0
2003,assam,g.r.p.,0
2003,himachalpradesh,g.r.p.,0
2003,rajasthan,g.r.p.,2
2003,uttarpradesh,g.r.p.,0
2004,assam,g.r.p.,0
2004,himachalpradesh,g.r.p.,0
2004,rajasthan,g.r.p.,1
2004,uttarpradesh,g.r.p.,0
2005,assam,g.r.p.,0
2005,himachalpradesh,g.r.p.,0
2005,rajasthan,g.r.p.,0
2005,uttarpradesh,g.r.p.,1
2006,assam,g.r.p.,0
2006,himachalpradesh,g.r.p.,0
2006,rajasthan,g.r.p.,0
2006,uttarpradesh,g.r.p.,0
2007,assam,g.r.p.,0
2007,himachalpradesh,g.r.p.,0
2007,rajasthan,g.r.p.,1
2007,uttarpradesh,g.r.p.,2
2008,assam,g.r.p.,0
2008,himachalpradesh,g.r.p.,0
2008,rajasthan,g.r.p.,1
2008,uttarpradesh,g.r.p.,0
2009,assam,g.r.p.,0
2009,himachalpradesh,g.r.p.,0
2009,rajasthan,g.r.p.,2
2009,uttarpradesh,g.r.p.,1
2010,assam,g.r.p.,0
2010,himachalpradesh,g.r.p.,0
2010,tripura,g.r.p.,0
2010,uttarpradesh,g.r.p.,3
2011,assam,g.r.p.,0
2011,himachalpradesh,g.r.p.,0
2011,uttarpradesh,g.r.p.,1
2012,assam,g.r.p.,2
2012,himachalpradesh,g.r.p.,0
2012,uttarpradesh,g.r.p.,2
2013,assam,g.r.p.,0
2013,himachalpradesh,g.r.p.,0
2013,uttarpradesh,g.r.p.,3
2001,karnataka,gadag,3
2002,karnataka,gadag,3
2003,karnataka,gadag,1
2004,karnataka,gadag,2
2005,karnataka,gadag,4
2006,karnataka,gadag,4
2007,karnataka,gadag,3
2008,karnataka,gadag,5
2009,karnataka,gadag,0
2010,karnataka,gadag,1
2011,karnataka,gadag,0
2012,karnataka,gadag,2
2013,karnataka,gadag,1
2001,maharashtra,gadchiroli,0
2002,maharashtra,gadchiroli,0
2003,maharashtra,gadchiroli,2
2004,maharashtra,gadchiroli,3
2005,maharashtra,gadchiroli,1
2006,maharashtra,gadchiroli,2
2007,maharashtra,gadchiroli,3
2008,maharashtra,gadchiroli,2
2009,maharashtra,gadchiroli,1
2010,maharashtra,gadchiroli,0
2011,maharashtra,gadchiroli,0
2012,maharashtra,gadchiroli,0
2013,maharashtra,gadchiroli,0
2001,odisha,gajapati,1
2002,odisha,gajapati,0
2003,odisha,gajapati,3
2004,odisha,gajapati,0
2005,odisha,gajapati,1
2006,odisha,gajapati,3
2007,odisha,gajapati,2
2008,odisha,gajapati,2
2009,odisha,gajapati,1
2010,odisha,gajapati,0
2011,odisha,gajapati,0
2012,odisha,gajapati,2
2013,odisha,gajapati,4
2001,jammu&kashmir,ganderbal,0
2002,jammu&kashmir,ganderbal,0
2003,jammu&kashmir,ganderbal,0
2004,jammu&kashmir,ganderbal,0
2005,jammu&kashmir,ganderbal,0
2006,jammu&kashmir,ganderbal,0
2007,jammu&kashmir,ganderbal,0
2008,jammu&kashmir,ganderbal,0
2009,jammu&kashmir,ganderbal,0
2010,jammu&kashmir,ganderbal,0
2011,jammu&kashmir,ganderbal,0
2012,jammu&kashmir,ganderbal,0
2013,jammu&kashmir,ganderbal,0
2001,gujarat,gandhinagar,3
2002,gujarat,gandhinagar,1
2003,gujarat,gandhinagar,2
2004,gujarat,gandhinagar,2
2005,gujarat,gandhinagar,4
2006,gujarat,gandhinagar,0
2007,gujarat,gandhinagar,1
2008,gujarat,gandhinagar,3
2009,gujarat,gandhinagar,0
2010,gujarat,gandhinagar,1
2011,gujarat,gandhinagar,0
2012,gujarat,gandhinagar,0
2013,gujarat,gandhinagar,0
2001,rajasthan,ganganagar,13
2002,rajasthan,ganganagar,19
2003,rajasthan,ganganagar,16
2004,rajasthan,ganganagar,20
2005,rajasthan,ganganagar,10
2006,rajasthan,ganganagar,16
2007,rajasthan,ganganagar,11
2008,rajasthan,ganganagar,16
2009,rajasthan,ganganagar,13
2010,rajasthan,ganganagar,18
2011,rajasthan,ganganagar,19
2012,rajasthan,ganganagar,21
2013,rajasthan,ganganagar,20
2001,odisha,ganjam,1
2002,odisha,ganjam,21
2003,odisha,ganjam,13
2004,odisha,ganjam,21
2005,odisha,ganjam,28
2006,odisha,ganjam,20
2007,odisha,ganjam,20
2008,odisha,ganjam,13
2009,odisha,ganjam,27
2010,odisha,ganjam,25
2011,odisha,ganjam,32
2012,odisha,ganjam,32
2013,odisha,ganjam,20
2001,jharkhand,garhwa,15
2002,jharkhand,garhwa,14
2003,jharkhand,garhwa,13
2004,jharkhand,garhwa,14
2005,jharkhand,garhwa,17
2006,jharkhand,garhwa,16
2007,jharkhand,garhwa,8
2008,jharkhand,garhwa,9
2009,jharkhand,garhwa,12
2010,jharkhand,garhwa,10
2011,jharkhand,garhwa,19
2012,jharkhand,garhwa,21
2013,jharkhand,garhwa,30
2001,meghalaya,garo_hills_east,0
2002,meghalaya,garo_hills_east,0
2003,meghalaya,garo_hills_east,0
2004,meghalaya,garo_hills_east,0
2005,meghalaya,garo_hills_east,0
2006,meghalaya,garo_hills_east,0
2007,meghalaya,garo_hills_east,0
2008,meghalaya,garo_hills_east,0
2009,meghalaya,garo_hills_east,0
2010,meghalaya,garo_hills_east,0
2011,meghalaya,garo_hills_east,0
2012,meghalaya,garo_hills_east,0
2013,meghalaya,garo_hills_east,0
2001,meghalaya,garo_hills_south,0
2002,meghalaya,garo_hills_south,0
2003,meghalaya,garo_hills_south,0
2004,meghalaya,garo_hills_south,0
2005,meghalaya,garo_hills_south,0
2006,meghalaya,garo_hills_south,0
2007,meghalaya,garo_hills_south,0
2008,meghalaya,garo_hills_south,0
2009,meghalaya,garo_hills_south,0
2010,meghalaya,garo_hills_south,0
2011,meghalaya,garo_hills_south,0
2012,meghalaya,garo_hills_south,0
2013,meghalaya,garo_hills_south,0
2001,meghalaya,garo_hills_west,0
2002,meghalaya,garo_hills_west,0
2003,meghalaya,garo_hills_west,0
2004,meghalaya,garo_hills_west,1
2005,meghalaya,garo_hills_west,0
2006,meghalaya,garo_hills_west,0
2007,meghalaya,garo_hills_west,0
2008,meghalaya,garo_hills_west,0
2009,meghalaya,garo_hills_west,0
2010,meghalaya,garo_hills_west,0
2011,meghalaya,garo_hills_west,1
2012,meghalaya,garo_hills_west,0
2013,meghalaya,garo_hills_west,0
2001,uttarpradesh,gautambudh_nagar,17
2002,uttarpradesh,gautambudh_nagar,17
2003,uttarpradesh,gautambudh_nagar,14
2004,uttarpradesh,gautambudh_nagar,14
2005,uttarpradesh,gautambudh_nagar,14
2006,uttarpradesh,gautambudh_nagar,13
2007,uttarpradesh,gautambudh_nagar,14
2008,uttarpradesh,gautambudh_nagar,25
2009,uttarpradesh,gautambudh_nagar,22
2010,uttarpradesh,gautambudh_nagar,19
2011,uttarpradesh,gautambudh_nagar,25
2012,uttarpradesh,gautambudh_nagar,17
2013,uttarpradesh,gautambudh_nagar,31
2001,bihar,gaya,26
2002,bihar,gaya,26
2003,bihar,gaya,37
2004,bihar,gaya,36
2005,bihar,gaya,8
2006,bihar,gaya,168
2007,bihar,gaya,74
2008,bihar,gaya,43
2009,bihar,gaya,46
2010,bihar,gaya,42
2011,bihar,gaya,56
2012,bihar,gaya,53
2013,bihar,gaya,37
2001,uttarpradesh,ghaziabad,33
2002,uttarpradesh,ghaziabad,21
2003,uttarpradesh,ghaziabad,17
2004,uttarpradesh,ghaziabad,35
2005,uttarpradesh,ghaziabad,33
2006,uttarpradesh,ghaziabad,41
2007,uttarpradesh,ghaziabad,37
2008,uttarpradesh,ghaziabad,39
2009,uttarpradesh,ghaziabad,66
2010,uttarpradesh,ghaziabad,69
2011,uttarpradesh,ghaziabad,47
2012,uttarpradesh,ghaziabad,41
2013,uttarpradesh,ghaziabad,44
2001,uttarpradesh,ghazipur,22
2002,uttarpradesh,ghazipur,14
2003,uttarpradesh,ghazipur,11
2004,uttarpradesh,ghazipur,17
2005,uttarpradesh,ghazipur,19
2006,uttarpradesh,ghazipur,22
2007,uttarpradesh,ghazipur,22
2008,uttarpradesh,ghazipur,33
2009,uttarpradesh,ghazipur,29
2010,uttarpradesh,ghazipur,32
2011,uttarpradesh,ghazipur,35
2012,uttarpradesh,ghazipur,32
2013,uttarpradesh,ghazipur,27
2001,jharkhand,giridih,30
2002,jharkhand,giridih,52
2003,jharkhand,giridih,42
2004,jharkhand,giridih,52
2005,jharkhand,giridih,24
2006,jharkhand,giridih,39
2007,jharkhand,giridih,20
2008,jharkhand,giridih,33
2009,jharkhand,giridih,45
2010,jharkhand,giridih,39
2011,jharkhand,giridih,30
2012,jharkhand,giridih,32
2013,jharkhand,giridih,44
2001,assam,goalpara,1
2002,assam,goalpara,2
2003,assam,goalpara,2
2004,assam,goalpara,3
2005,assam,goalpara,3
2006,assam,goalpara,4
2007,assam,goalpara,4
2008,assam,goalpara,4
2009,assam,goalpara,2
2010,assam,goalpara,4
2011,assam,goalpara,3
2012,assam,goalpara,3
2013,assam,goalpara,7
2001,jharkhand,godda,1
2002,jharkhand,godda,4
2003,jharkhand,godda,4
2004,jharkhand,godda,4
2005,jharkhand,godda,8
2006,jharkhand,godda,8
2007,jharkhand,godda,7
2008,jharkhand,godda,7
2009,jharkhand,godda,7
2010,jharkhand,godda,7
2011,jharkhand,godda,0
2012,jharkhand,godda,11
2013,jharkhand,godda,8
2001,assam,golaghat,0
2002,assam,golaghat,0
2003,assam,golaghat,0
2004,assam,golaghat,0
2005,assam,golaghat,0
2006,assam,golaghat,1
2007,assam,golaghat,0
2008,assam,golaghat,0
2009,assam,golaghat,0
2010,assam,golaghat,9
2011,assam,golaghat,1
2012,assam,golaghat,1
2013,assam,golaghat,3
2001,uttarpradesh,gonda,26
2002,uttarpradesh,gonda,29
2003,uttarpradesh,gonda,16
2004,uttarpradesh,gonda,15
2005,uttarpradesh,gonda,26
2006,uttarpradesh,gonda,28
2007,uttarpradesh,gonda,35
2008,uttarpradesh,gonda,43
2009,uttarpradesh,gonda,42
2010,uttarpradesh,gonda,47
2011,uttarpradesh,gonda,27
2012,uttarpradesh,gonda,37
2013,uttarpradesh,gonda,32
2001,maharashtra,gondia,4
2002,maharashtra,gondia,4
2003,maharashtra,gondia,6
2004,maharashtra,gondia,2
2005,maharashtra,gondia,1
2006,maharashtra,gondia,5
2007,maharashtra,gondia,3
2008,maharashtra,gondia,3
2009,maharashtra,gondia,3
2010,maharashtra,gondia,3
2011,maharashtra,gondia,1
2012,maharashtra,gondia,0
2013,maharashtra,gondia,1
2001,bihar,gopalganj,22
2002,bihar,gopalganj,23
2003,bihar,gopalganj,14
2004,bihar,gopalganj,38
2005,bihar,gopalganj,25
2006,bihar,gopalganj,32
2007,bihar,gopalganj,22
2008,bihar,gopalganj,36
2009,bihar,gopalganj,42
2010,bihar,gopalganj,48
2011,bihar,gopalganj,35
2012,bihar,gopalganj,43
2013,bihar,gopalganj,33
2001,uttarpradesh,gorakhpur,16
2002,uttarpradesh,gorakhpur,30
2003,uttarpradesh,gorakhpur,18
2004,uttarpradesh,gorakhpur,25
2005,uttarpradesh,gorakhpur,16
2006,uttarpradesh,gorakhpur,16
2007,uttarpradesh,gorakhpur,23
2008,uttarpradesh,gorakhpur,43
2009,uttarpradesh,gorakhpur,50
2010,uttarpradesh,gorakhpur,61
2011,uttarpradesh,gorakhpur,41
2012,uttarpradesh,gorakhpur,53
2013,uttarpradesh,gorakhpur,39
2001,haryana,grp,5
2002,haryana,grp,14
2003,haryana,grp,3
2004,haryana,grp,7
2005,haryana,grp,7
2006,haryana,grp,6
2007,haryana,grp,5
2008,haryana,grp,6
2009,haryana,grp,10
2010,haryana,grp,5
2011,haryana,grp,4
2011,tripura,grp,0
2012,haryana,grp,5
2012,tripura,grp,0
2013,haryana,grp,3
2013,tripura,grp,0
2001,chhattisgarh,grp_raipur,0
2002,chhattisgarh,grp_raipur,0
2003,chhattisgarh,grp_raipur,0
2004,chhattisgarh,grp_raipur,0
2005,chhattisgarh,grp_raipur,2
2006,chhattisgarh,grp_raipur,0
2007,chhattisgarh,grp_raipur,1
2008,chhattisgarh,grp_raipur,0
2009,chhattisgarh,grp_raipur,0
2010,chhattisgarh,grp_raipur,0
2011,chhattisgarh,grp_raipur,1
2012,chhattisgarh,grp_raipur,0
2013,chhattisgarh,grp_raipur,0
2001,karnataka,gulbarga,6
2002,karnataka,gulbarga,4
2003,karnataka,gulbarga,5
2004,karnataka,gulbarga,7
2005,karnataka,gulbarga,12
2006,karnataka,gulbarga,9
2007,karnataka,gulbarga,19
2008,karnataka,gulbarga,7
2009,karnataka,gulbarga,8
2010,karnataka,gulbarga,6
2011,karnataka,gulbarga,2
2012,karnataka,gulbarga,10
2013,karnataka,gulbarga,8
2001,jharkhand,gumla,0
2002,jharkhand,gumla,1
2003,jharkhand,gumla,0
2004,jharkhand,gumla,1
2005,jharkhand,gumla,2
2006,jharkhand,gumla,1
2007,jharkhand,gumla,1
2008,jharkhand,gumla,0
