Year,STATE/UT,DISTRICT,Insult_to_modesty_of_Women
2003,madhyapradesh,khandwa,21
2004,madhyapradesh,khandwa,37
2005,madhyapradesh,khandwa,22
2006,madhyapradesh,khandwa,20
2007,madhyapradesh,khandwa,30
2008,madhyapradesh,khandwa,27
2009,madhyapradesh,khandwa,19
2010,madhyapradesh,khandwa,21
2011,madhyapradesh,khandwa,19
2012,madhyapradesh,khandwa,6
2013,madhyapradesh,khandwa,13
2001,punjab,khanna,0
2002,punjab,khanna,0
2003,punjab,khanna,0
2004,punjab,khanna,0
2005,punjab,khanna,0
2006,punjab,khanna,0
2007,punjab,khanna,0
2008,punjab,khanna,0
2009,punjab,khanna,0
2010,punjab,khanna,0
2011,punjab,khanna,0
2012,punjab,khanna,0
2013,punjab,khanna,6
2001,madhyapradesh,khargon,29
2002,madhyapradesh,khargon,30
2003,madhyapradesh,khargon,31
2004,madhyapradesh,khargon,25
2005,madhyapradesh,khargon,21
2006,madhyapradesh,khargon,24
2007,madhyapradesh,khargon,20
2008,madhyapradesh,khargon,23
2009,madhyapradesh,khargon,9
2010,madhyapradesh,khargon,28
2011,madhyapradesh,khargon,14
2012,madhyapradesh,khargon,22
2013,madhyapradesh,khargon,16
2001,meghalaya,khasi_hills_east,0
2002,meghalaya,khasi_hills_east,0
2003,meghalaya,khasi_hills_east,1
2004,meghalaya,khasi_hills_east,0
2005,meghalaya,khasi_hills_east,0
2006,meghalaya,khasi_hills_east,0
2007,meghalaya,khasi_hills_east,0
2008,meghalaya,khasi_hills_east,1
2009,meghalaya,khasi_hills_east,0
2010,meghalaya,khasi_hills_east,0
2011,meghalaya,khasi_hills_east,0
2012,meghalaya,khasi_hills_east,0
2013,meghalaya,khasi_hills_east,0
2001,meghalaya,khasi_hills_west,0
2002,meghalaya,khasi_hills_west,0
2003,meghalaya,khasi_hills_west,0
2004,meghalaya,khasi_hills_west,0
2005,meghalaya,khasi_hills_west,0
2006,meghalaya,khasi_hills_west,0
2007,meghalaya,khasi_hills_west,0
2008,meghalaya,khasi_hills_west,0
2009,meghalaya,khasi_hills_west,0
2010,meghalaya,khasi_hills_west,0
2011,meghalaya,khasi_hills_west,0
2012,meghalaya,khasi_hills_west,0
2013,meghalaya,khasi_hills_west,0
2001,gujarat,kheda_north,0
2002,gujarat,kheda_north,0
2003,gujarat,kheda_north,0
2004,gujarat,kheda_north,0
2005,gujarat,kheda_north,0
2006,gujarat,kheda_north,0
2007,gujarat,kheda_north,0
2008,gujarat,kheda_north,0
2009,gujarat,kheda_north,0
2010,gujarat,kheda_north,0
2011,gujarat,kheda_north,0
2012,gujarat,kheda_north,0
2013,gujarat,kheda_north,1
2001,uttarpradesh,khiri,24
2002,uttarpradesh,khiri,14
2003,uttarpradesh,khiri,213
2004,uttarpradesh,khiri,105
2005,uttarpradesh,khiri,70
2006,uttarpradesh,khiri,42
2007,uttarpradesh,khiri,25
2008,uttarpradesh,khiri,29
2009,uttarpradesh,khiri,36
2010,uttarpradesh,khiri,0
2011,uttarpradesh,khiri,0
2012,uttarpradesh,khiri,0
2013,uttarpradesh,khiri,0
2001,odisha,khurda,9
2002,odisha,khurda,15
2003,odisha,khurda,19
2004,odisha,khurda,7
2005,odisha,khurda,9
2006,odisha,khurda,10
2007,odisha,khurda,11
2008,odisha,khurda,1
2009,odisha,khurda,3
2010,odisha,khurda,2
2011,odisha,khurda,2
2012,odisha,khurda,2
2013,odisha,khurda,8
2001,himachalpradesh,kinnaur,0
2002,himachalpradesh,kinnaur,1
2003,himachalpradesh,kinnaur,0
2004,himachalpradesh,kinnaur,0
2005,himachalpradesh,kinnaur,1
2006,himachalpradesh,kinnaur,1
2007,himachalpradesh,kinnaur,0
2008,himachalpradesh,kinnaur,0
2009,himachalpradesh,kinnaur,0
2010,himachalpradesh,kinnaur,0
2011,himachalpradesh,kinnaur,0
2012,himachalpradesh,kinnaur,0
2013,himachalpradesh,kinnaur,0
2001,nagaland,kiphire,0
2002,nagaland,kiphire,0
2003,nagaland,kiphire,0
2004,nagaland,kiphire,0
2005,nagaland,kiphire,0
2006,nagaland,kiphire,0
2007,nagaland,kiphire,0
2008,nagaland,kiphire,0
2009,nagaland,kiphire,0
2010,nagaland,kiphire,0
2011,nagaland,kiphire,0
2012,nagaland,kiphire,0
2013,nagaland,kiphire,0
2001,bihar,kishanganj,1
2002,bihar,kishanganj,0
2003,bihar,kishanganj,0
2004,bihar,kishanganj,0
2005,bihar,kishanganj,0
2006,bihar,kishanganj,0
2007,bihar,kishanganj,0
2008,bihar,kishanganj,0
2009,bihar,kishanganj,0
2010,bihar,kishanganj,0
2011,bihar,kishanganj,0
2012,bihar,kishanganj,0
2013,bihar,kishanganj,0
2001,karnataka,kodagu,0
2002,karnataka,kodagu,0
2003,karnataka,kodagu,0
2004,karnataka,kodagu,2
2005,karnataka,kodagu,3
2006,karnataka,kodagu,2
2007,karnataka,kodagu,1
2008,karnataka,kodagu,1
2009,karnataka,kodagu,2
2010,karnataka,kodagu,0
2011,karnataka,kodagu,1
2012,karnataka,kodagu,0
2013,karnataka,kodagu,2
2001,jharkhand,koderma,1
2002,jharkhand,koderma,0
2003,jharkhand,koderma,0
2004,jharkhand,koderma,0
2005,jharkhand,koderma,0
2006,jharkhand,koderma,1
2007,jharkhand,koderma,0
2008,jharkhand,koderma,0
2009,jharkhand,koderma,2
2010,jharkhand,koderma,0
2011,jharkhand,koderma,0
2012,jharkhand,koderma,0
2013,jharkhand,koderma,0
2001,nagaland,kohima,0
2002,nagaland,kohima,0
2003,nagaland,kohima,0
2004,nagaland,kohima,0
2005,nagaland,kohima,0
2006,nagaland,kohima,0
2007,nagaland,kohima,0
2008,nagaland,kohima,0
2009,nagaland,kohima,0
2010,nagaland,kohima,0
2011,nagaland,kohima,0
2012,nagaland,kohima,0
2013,nagaland,kohima,0
2001,assam,kokrajhar,0
2002,assam,kokrajhar,0
2003,assam,kokrajhar,0
2004,assam,kokrajhar,0
2005,assam,kokrajhar,0
2006,assam,kokrajhar,0
2007,assam,kokrajhar,0
2008,assam,kokrajhar,0
2009,assam,kokrajhar,0
2010,assam,kokrajhar,0
2011,assam,kokrajhar,0
2012,assam,kokrajhar,0
2013,assam,kokrajhar,0
2001,karnataka,kolar,0
2002,karnataka,kolar,0
2003,karnataka,kolar,1
2004,karnataka,kolar,0
2005,karnataka,kolar,0
2006,karnataka,kolar,0
2007,karnataka,kolar,0
2008,karnataka,kolar,0
2009,karnataka,kolar,2
2010,karnataka,kolar,0
2011,karnataka,kolar,0
2012,karnataka,kolar,0
2013,karnataka,kolar,0
2001,mizoram,kolasib,0
2002,mizoram,kolasib,0
2003,mizoram,kolasib,0
2004,mizoram,kolasib,0
2005,mizoram,kolasib,0
2006,mizoram,kolasib,0
2007,mizoram,kolasib,0
2008,mizoram,kolasib,0
2009,mizoram,kolasib,0
2010,mizoram,kolasib,0
2011,mizoram,kolasib,1
2012,mizoram,kolasib,0
2013,mizoram,kolasib,0
2001,maharashtra,kolhapur,7
2002,maharashtra,kolhapur,8
2003,maharashtra,kolhapur,7
2004,maharashtra,kolhapur,15
2005,maharashtra,kolhapur,12
2006,maharashtra,kolhapur,15
2007,maharashtra,kolhapur,24
2008,maharashtra,kolhapur,13
2009,maharashtra,kolhapur,15
2010,maharashtra,kolhapur,12
2011,maharashtra,kolhapur,18
2012,maharashtra,kolhapur,32
2013,maharashtra,kolhapur,37
2001,westbengal,kolkata,37
2002,westbengal,kolkata,24
2003,westbengal,kolkata,57
2004,westbengal,kolkata,34
2005,westbengal,kolkata,35
2006,westbengal,kolkata,37
2007,westbengal,kolkata,58
2008,westbengal,kolkata,81
2009,westbengal,kolkata,90
2010,westbengal,kolkata,133
2011,westbengal,kolkata,144
2012,westbengal,kolkata,377
2013,westbengal,kolkata,412
2001,karnataka,koppal,1
2002,karnataka,koppal,0
2003,karnataka,koppal,2
2004,karnataka,koppal,0
2005,karnataka,koppal,1
2006,karnataka,koppal,0
2007,karnataka,koppal,0
2008,karnataka,koppal,0
2009,karnataka,koppal,0
2010,karnataka,koppal,0
2011,karnataka,koppal,0
2012,karnataka,koppal,0
2013,karnataka,koppal,0
2001,odisha,koraput,124
2002,odisha,koraput,4
2003,odisha,koraput,4
2004,odisha,koraput,2
2005,odisha,koraput,6
2006,odisha,koraput,5
2007,odisha,koraput,10
2008,odisha,koraput,7
2009,odisha,koraput,3
2010,odisha,koraput,11
2011,odisha,koraput,10
2012,odisha,koraput,9
2013,odisha,koraput,8
2001,chhattisgarh,korba,7
2002,chhattisgarh,korba,10
2003,chhattisgarh,korba,14
2004,chhattisgarh,korba,7
2005,chhattisgarh,korba,4
2006,chhattisgarh,korba,6
2007,chhattisgarh,korba,4
2008,chhattisgarh,korba,10
2009,chhattisgarh,korba,8
2010,chhattisgarh,korba,4
2011,chhattisgarh,korba,12
2012,chhattisgarh,korba,7
2013,chhattisgarh,korba,9
2001,chhattisgarh,koriya,2
2002,chhattisgarh,koriya,0
2003,chhattisgarh,koriya,1
2004,chhattisgarh,koriya,1
2005,chhattisgarh,koriya,1
2006,chhattisgarh,koriya,2
2007,chhattisgarh,koriya,0
2008,chhattisgarh,koriya,6
2009,chhattisgarh,koriya,11
2010,chhattisgarh,koriya,9
2011,chhattisgarh,koriya,1
2012,chhattisgarh,koriya,2
2013,chhattisgarh,koriya,4
2001,kerala,kottayam,8
2002,kerala,kottayam,19
2003,kerala,kottayam,10
2004,kerala,kottayam,12
2005,kerala,kottayam,16
2006,kerala,kottayam,29
2007,kerala,kottayam,31
2008,kerala,kottayam,32
2009,kerala,kottayam,34
2010,kerala,kottayam,66
2011,kerala,kottayam,31
2012,kerala,kottayam,55
2013,kerala,kottayam,30
2001,andhrapradesh,krishna,72
2002,andhrapradesh,krishna,110
2003,andhrapradesh,krishna,107
2004,andhrapradesh,krishna,108
2005,andhrapradesh,krishna,104
2006,andhrapradesh,krishna,74
2007,andhrapradesh,krishna,150
2008,andhrapradesh,krishna,93
2009,andhrapradesh,krishna,130
2010,andhrapradesh,krishna,149
2011,andhrapradesh,krishna,292
2012,andhrapradesh,krishna,309
2013,andhrapradesh,krishna,274
2001,jammu&kashmir,kulgam,11
2002,jammu&kashmir,kulgam,4
2003,jammu&kashmir,kulgam,15
2004,jammu&kashmir,kulgam,3
2005,jammu&kashmir,kulgam,3
2006,jammu&kashmir,kulgam,11
2007,jammu&kashmir,kulgam,13
2008,jammu&kashmir,kulgam,4
2009,jammu&kashmir,kulgam,9
2010,jammu&kashmir,kulgam,5
2011,jammu&kashmir,kulgam,12
2012,jammu&kashmir,kulgam,19
2013,jammu&kashmir,kulgam,18
2001,himachalpradesh,kullu,0
2002,himachalpradesh,kullu,0
2003,himachalpradesh,kullu,0
2004,himachalpradesh,kullu,1
2005,himachalpradesh,kullu,0
2006,himachalpradesh,kullu,0
2007,himachalpradesh,kullu,3
2008,himachalpradesh,kullu,2
2009,himachalpradesh,kullu,1
2010,himachalpradesh,kullu,1
2011,himachalpradesh,kullu,2
2012,himachalpradesh,kullu,0
2013,himachalpradesh,kullu,2
2001,jammu&kashmir,kupwara,2
2002,jammu&kashmir,kupwara,4
2003,jammu&kashmir,kupwara,4
2004,jammu&kashmir,kupwara,7
2005,jammu&kashmir,kupwara,5
2006,jammu&kashmir,kupwara,11
2007,jammu&kashmir,kupwara,4
2008,jammu&kashmir,kupwara,2
2009,jammu&kashmir,kupwara,7
2010,jammu&kashmir,kupwara,4
2011,jammu&kashmir,kupwara,11
2012,jammu&kashmir,kupwara,16
2013,jammu&kashmir,kupwara,14
2001,andhrapradesh,kurnool,107
2002,andhrapradesh,kurnool,115
2003,andhrapradesh,kurnool,131
2004,andhrapradesh,kurnool,157
2005,andhrapradesh,kurnool,124
2006,andhrapradesh,kurnool,157
2007,andhrapradesh,kurnool,219
2008,andhrapradesh,kurnool,232
2009,andhrapradesh,kurnool,365
2010,andhrapradesh,kurnool,268
2011,andhrapradesh,kurnool,222
2012,andhrapradesh,kurnool,75
2013,andhrapradesh,kurnool,199
2001,haryana,kurukshetra,8
2002,haryana,kurukshetra,14
2003,haryana,kurukshetra,18
2004,haryana,kurukshetra,20
2005,haryana,kurukshetra,15
2006,haryana,kurukshetra,37
2007,haryana,kurukshetra,16
2008,haryana,kurukshetra,27
2009,haryana,kurukshetra,29
2010,haryana,kurukshetra,24
2011,haryana,kurukshetra,20
2012,haryana,kurukshetra,27
2013,haryana,kurukshetra,26
2001,uttarpradesh,kushi_nagar,35
2002,uttarpradesh,kushi_nagar,35
2003,uttarpradesh,kushi_nagar,97
2004,uttarpradesh,kushi_nagar,37
2005,uttarpradesh,kushi_nagar,32
2006,uttarpradesh,kushi_nagar,19
2007,uttarpradesh,kushi_nagar,60
2008,uttarpradesh,kushi_nagar,6
2009,uttarpradesh,kushi_nagar,5
2010,uttarpradesh,kushi_nagar,0
2011,uttarpradesh,kushi_nagar,0
2012,uttarpradesh,kushi_nagar,0
2013,uttarpradesh,kushi_nagar,0
2001,himachalpradesh,lahaul-spiti,0
2002,himachalpradesh,lahaul-spiti,0
2003,himachalpradesh,lahaul-spiti,0
2004,himachalpradesh,lahaul-spiti,0
2005,himachalpradesh,lahaul-spiti,0
2006,himachalpradesh,lahaul-spiti,0
2007,himachalpradesh,lahaul-spiti,0
2008,himachalpradesh,lahaul-spiti,0
2009,himachalpradesh,lahaul-spiti,2
2010,himachalpradesh,lahaul-spiti,0
2011,himachalpradesh,lahaul-spiti,0
2012,himachalpradesh,lahaul-spiti,0
2013,himachalpradesh,lahaul-spiti,1
2001,assam,lakhimpur,0
2002,assam,lakhimpur,0
2003,assam,lakhimpur,0
2004,assam,lakhimpur,0
2005,assam,lakhimpur,0
2006,assam,lakhimpur,0
2007,assam,lakhimpur,0
2008,assam,lakhimpur,0
2009,assam,lakhimpur,0
2010,assam,lakhimpur,0
2011,assam,lakhimpur,0
2012,assam,lakhimpur,0
2013,assam,lakhimpur,0
2001,bihar,lakhisarai,0
2002,bihar,lakhisarai,0
2003,bihar,lakhisarai,0
2004,bihar,lakhisarai,0
2005,bihar,lakhisarai,0
2006,bihar,lakhisarai,0
2007,bihar,lakhisarai,0
2008,bihar,lakhisarai,2
2009,bihar,lakhisarai,5
2010,bihar,lakhisarai,0
2011,bihar,lakhisarai,0
2012,bihar,lakhisarai,0
2013,bihar,lakhisarai,0
2001,lakshadweep,lakshadweep,0
2002,lakshadweep,lakshadweep,0
2003,lakshadweep,lakshadweep,0
2004,lakshadweep,lakshadweep,0
2005,lakshadweep,lakshadweep,0
2006,lakshadweep,lakshadweep,0
2007,lakshadweep,lakshadweep,0
2008,lakshadweep,lakshadweep,0
2009,lakshadweep,lakshadweep,0
2010,lakshadweep,lakshadweep,0
2011,lakshadweep,lakshadweep,0
2012,lakshadweep,lakshadweep,0
2013,lakshadweep,lakshadweep,0
2001,uttarpradesh,lalitpur,9
2002,uttarpradesh,lalitpur,13
2003,uttarpradesh,lalitpur,60
2004,uttarpradesh,lalitpur,23
2005,uttarpradesh,lalitpur,32
2006,uttarpradesh,lalitpur,11
2007,uttarpradesh,lalitpur,29
2008,uttarpradesh,lalitpur,14
2009,uttarpradesh,lalitpur,12
2010,uttarpradesh,lalitpur,0
2011,uttarpradesh,lalitpur,0
2012,uttarpradesh,lalitpur,0
2013,uttarpradesh,lalitpur,0
2001,jharkhand,latehar,0
2002,jharkhand,latehar,0
2003,jharkhand,latehar,0
2004,jharkhand,latehar,0
2005,jharkhand,latehar,0
2006,jharkhand,latehar,0
2007,jharkhand,latehar,0
2008,jharkhand,latehar,0
2009,jharkhand,latehar,0
2010,jharkhand,latehar,0
2011,jharkhand,latehar,0
2012,jharkhand,latehar,0
2013,jharkhand,latehar,0
2001,maharashtra,latur,7
2002,maharashtra,latur,5
2003,maharashtra,latur,2
2004,maharashtra,latur,0
2005,maharashtra,latur,3
2006,maharashtra,latur,5
2007,maharashtra,latur,0
2008,maharashtra,latur,0
2009,maharashtra,latur,0
2010,maharashtra,latur,3
2011,maharashtra,latur,0
2012,maharashtra,latur,0
2013,maharashtra,latur,3
2001,mizoram,lawngtlai,0
2002,mizoram,lawngtlai,0
2003,mizoram,lawngtlai,0
2004,mizoram,lawngtlai,0
2005,mizoram,lawngtlai,1
2006,mizoram,lawngtlai,0
2007,mizoram,lawngtlai,0
2008,mizoram,lawngtlai,0
2009,mizoram,lawngtlai,0
2010,mizoram,lawngtlai,0
2011,mizoram,lawngtlai,0
2012,mizoram,lawngtlai,0
2013,mizoram,lawngtlai,0
2001,jammu&kashmir,leh,0
2002,jammu&kashmir,leh,1
2003,jammu&kashmir,leh,0
2004,jammu&kashmir,leh,0
2005,jammu&kashmir,leh,0
2006,jammu&kashmir,leh,0
2007,jammu&kashmir,leh,0
2008,jammu&kashmir,leh,0
2009,jammu&kashmir,leh,0
2010,jammu&kashmir,leh,0
2011,jammu&kashmir,leh,1
2012,jammu&kashmir,leh,0
2013,jammu&kashmir,leh,1
2001,jharkhand,lohardagga,0
2002,jharkhand,lohardagga,0
2003,jharkhand,lohardagga,0
2004,jharkhand,lohardagga,0
2005,jharkhand,lohardagga,0
2006,jharkhand,lohardagga,0
2007,jharkhand,lohardagga,0
2008,jharkhand,lohardagga,0
2009,jharkhand,lohardagga,0
2010,jharkhand,lohardagga,0
2011,jharkhand,lohardagga,0
2012,jharkhand,lohardagga,0
2013,jharkhand,lohardagga,0
2001,arunachalpradesh,lohit,0
2002,arunachalpradesh,lohit,0
2003,arunachalpradesh,lohit,0
2004,arunachalpradesh,lohit,0
2005,arunachalpradesh,lohit,0
2006,arunachalpradesh,lohit,0
2007,arunachalpradesh,lohit,0
2008,arunachalpradesh,lohit,0
2009,arunachalpradesh,lohit,0
2010,arunachalpradesh,lohit,0
2011,arunachalpradesh,lohit,0
2012,arunachalpradesh,lohit,0
2013,arunachalpradesh,lohit,0
2001,uttarpradesh,lucknow,148
2002,uttarpradesh,lucknow,105
2003,uttarpradesh,lucknow,302
2004,uttarpradesh,lucknow,152
2005,uttarpradesh,lucknow,204
2006,uttarpradesh,lucknow,160
2007,uttarpradesh,lucknow,159
2008,uttarpradesh,lucknow,340
2009,uttarpradesh,lucknow,256
2010,uttarpradesh,lucknow,0
2011,uttarpradesh,lucknow,0
2012,uttarpradesh,lucknow,2
2013,uttarpradesh,lucknow,1
2001,mizoram,lunglei,0
2002,mizoram,lunglei,0
2003,mizoram,lunglei,0
2004,mizoram,lunglei,0
2005,mizoram,lunglei,0
2006,mizoram,lunglei,0
2007,mizoram,lunglei,0
2008,mizoram,lunglei,0
2009,mizoram,lunglei,1
2010,mizoram,lunglei,0
2011,mizoram,lunglei,0
2012,mizoram,lunglei,0
2013,mizoram,lunglei,0
2001,bihar,madhepura,0
2002,bihar,madhepura,0
2003,bihar,madhepura,0
2004,bihar,madhepura,0
2005,bihar,madhepura,0
2006,bihar,madhepura,0
2007,bihar,madhepura,0
2008,bihar,madhepura,0
2009,bihar,madhepura,0
2010,bihar,madhepura,0
2011,bihar,madhepura,0
2012,bihar,madhepura,2
2013,bihar,madhepura,0
2001,bihar,madhubani,0
2002,bihar,madhubani,0
2003,bihar,madhubani,0
2004,bihar,madhubani,0
2005,bihar,madhubani,0
2006,bihar,madhubani,0
2007,bihar,madhubani,0
2008,bihar,madhubani,0
2009,bihar,madhubani,0
2010,bihar,madhubani,0
2011,bihar,madhubani,0
2012,bihar,madhubani,0
2013,bihar,madhubani,0
2001,tamilnadu,madurai_rural,8
2002,tamilnadu,madurai_rural,6
2003,tamilnadu,madurai_rural,8
2004,tamilnadu,madurai_rural,9
2005,tamilnadu,madurai_rural,13
2006,tamilnadu,madurai_rural,10
2007,tamilnadu,madurai_rural,30
2008,tamilnadu,madurai_rural,1
2009,tamilnadu,madurai_rural,17
2010,tamilnadu,madurai_rural,6
2011,tamilnadu,madurai_rural,3
2012,tamilnadu,madurai_rural,4
2013,tamilnadu,madurai_rural,17
2001,tamilnadu,madurai_urban,52
2002,tamilnadu,madurai_urban,123
2003,tamilnadu,madurai_urban,49
2004,tamilnadu,madurai_urban,40
2005,tamilnadu,madurai_urban,29
2006,tamilnadu,madurai_urban,15
2007,tamilnadu,madurai_urban,31
2008,tamilnadu,madurai_urban,2
2009,tamilnadu,madurai_urban,19
2010,tamilnadu,madurai_urban,20
2011,tamilnadu,madurai_urban,4
2012,tamilnadu,madurai_urban,8
2013,tamilnadu,madurai_urban,2
2001,andhrapradesh,mahaboobnagar,41
2002,andhrapradesh,mahaboobnagar,42
2003,andhrapradesh,mahaboobnagar,36
2004,andhrapradesh,mahaboobnagar,10
2005,andhrapradesh,mahaboobnagar,7
2006,andhrapradesh,mahaboobnagar,9
2007,andhrapradesh,mahaboobnagar,21
2008,andhrapradesh,mahaboobnagar,38
2009,andhrapradesh,mahaboobnagar,75
2010,andhrapradesh,mahaboobnagar,78
2011,andhrapradesh,mahaboobnagar,66
2012,andhrapradesh,mahaboobnagar,45
2013,andhrapradesh,mahaboobnagar,98
2001,uttarpradesh,maharajganj,37
2002,uttarpradesh,maharajganj,11
2003,uttarpradesh,maharajganj,56
2004,uttarpradesh,maharajganj,31
2005,uttarpradesh,maharajganj,21
2006,uttarpradesh,maharajganj,22
2007,uttarpradesh,maharajganj,23
2008,uttarpradesh,maharajganj,14
2009,uttarpradesh,maharajganj,13
2010,uttarpradesh,maharajganj,0
2011,uttarpradesh,maharajganj,0
2012,uttarpradesh,maharajganj,0
2013,uttarpradesh,maharajganj,0
2001,chhattisgarh,mahasamund,6
2002,chhattisgarh,mahasamund,3
2003,chhattisgarh,mahasamund,2
2004,chhattisgarh,mahasamund,1
2005,chhattisgarh,mahasamund,6
2006,chhattisgarh,mahasamund,3
2007,chhattisgarh,mahasamund,3
2008,chhattisgarh,mahasamund,4
2009,chhattisgarh,mahasamund,4
2010,chhattisgarh,mahasamund,5
2011,chhattisgarh,mahasamund,11
2012,chhattisgarh,mahasamund,4
2013,chhattisgarh,mahasamund,11
2001,haryana,mahendragarh,0
2002,haryana,mahendragarh,0
2003,haryana,mahendragarh,0
2004,haryana,mahendragarh,0
2005,haryana,mahendragarh,0
2006,haryana,mahendragarh,0
2007,haryana,mahendragarh,0
2008,haryana,mahendragarh,0
2009,haryana,mahendragarh,0
2010,haryana,mahendragarh,0
2011,haryana,mahendragarh,0
2012,haryana,mahendragarh,0
2013,haryana,mahendragarh,48
2001,uttarpradesh,mahoba,3
2002,uttarpradesh,mahoba,5
2003,uttarpradesh,mahoba,7
2004,uttarpradesh,mahoba,9
2005,uttarpradesh,mahoba,12
2006,uttarpradesh,mahoba,9
2007,uttarpradesh,mahoba,14
2008,uttarpradesh,mahoba,15
2009,uttarpradesh,mahoba,6
2010,uttarpradesh,mahoba,0
2011,uttarpradesh,mahoba,0
2012,uttarpradesh,mahoba,0
2013,uttarpradesh,mahoba,0
2001,uttarpradesh,mainpuri,3
2002,uttarpradesh,mainpuri,0
2003,uttarpradesh,mainpuri,6
2004,uttarpradesh,mainpuri,3
2005,uttarpradesh,mainpuri,5
2006,uttarpradesh,mainpuri,8
2007,uttarpradesh,mainpuri,22
2008,uttarpradesh,mainpuri,9
2009,uttarpradesh,mainpuri,20
2010,uttarpradesh,mainpuri,0
2011,uttarpradesh,mainpuri,0
2012,uttarpradesh,mainpuri,0
2013,uttarpradesh,mainpuri,0
2001,kerala,malappuram,3
2002,kerala,malappuram,5
2003,kerala,malappuram,2
2004,kerala,malappuram,10
2005,kerala,malappuram,5
2006,kerala,malappuram,12
2007,kerala,malappuram,37
2008,kerala,malappuram,28
2009,kerala,malappuram,33
2010,kerala,malappuram,29
2011,kerala,malappuram,27
2012,kerala,malappuram,21
2013,kerala,malappuram,20
2001,westbengal,malda,0
2002,westbengal,malda,3
2003,westbengal,malda,1
2004,westbengal,malda,0
2005,westbengal,malda,0
2006,westbengal,malda,1
2007,westbengal,malda,13
2008,westbengal,malda,0
2009,westbengal,malda,0
2010,westbengal,malda,1
2011,westbengal,malda,0
2012,westbengal,malda,0
2013,westbengal,malda,0
2001,odisha,malkangir,0
2002,odisha,malkangir,1
2003,odisha,malkangir,1
2004,odisha,malkangir,3
2005,odisha,malkangir,2
2006,odisha,malkangir,0
2007,odisha,malkangir,6
2008,odisha,malkangir,5
2009,odisha,malkangir,2
2010,odisha,malkangir,5
2011,odisha,malkangir,7
2012,odisha,malkangir,4
2013,odisha,malkangir,6
2001,mizoram,mamit,0
2002,mizoram,mamit,0
2003,mizoram,mamit,0
2004,mizoram,mamit,0
2005,mizoram,mamit,0
2006,mizoram,mamit,0
2007,mizoram,mamit,0
2008,mizoram,mamit,0
2009,mizoram,mamit,0
2010,mizoram,mamit,0
2011,mizoram,mamit,0
2012,mizoram,mamit,0
2013,mizoram,mamit,0
2001,himachalpradesh,mandi,4
2002,himachalpradesh,mandi,6
2003,himachalpradesh,mandi,2
2004,himachalpradesh,mandi,2
2005,himachalpradesh,mandi,4
2006,himachalpradesh,mandi,4
2007,himachalpradesh,mandi,6
2008,himachalpradesh,mandi,8
2009,himachalpradesh,mandi,5
2010,himachalpradesh,mandi,13
2011,himachalpradesh,mandi,12
2012,himachalpradesh,mandi,17
2013,himachalpradesh,mandi,14
2001,madhyapradesh,mandla,19
2002,madhyapradesh,mandla,11
2003,madhyapradesh,mandla,13
2004,madhyapradesh,mandla,16
2005,madhyapradesh,mandla,3
2006,madhyapradesh,mandla,9
2007,madhyapradesh,mandla,8
2008,madhyapradesh,mandla,14
2009,madhyapradesh,mandla,12
2010,madhyapradesh,mandla,6
2011,madhyapradesh,mandla,12
2012,madhyapradesh,mandla,12
2013,madhyapradesh,mandla,11
2001,madhyapradesh,mandsaur,11
2002,madhyapradesh,mandsaur,15
2003,madhyapradesh,mandsaur,12
2004,madhyapradesh,mandsaur,20
2005,madhyapradesh,mandsaur,14
2006,madhyapradesh,mandsaur,15
2007,madhyapradesh,mandsaur,9
2008,madhyapradesh,mandsaur,4
2009,madhyapradesh,mandsaur,17
2010,madhyapradesh,mandsaur,14
2011,madhyapradesh,mandsaur,6
2012,madhyapradesh,mandsaur,6
2013,madhyapradesh,mandsaur,17
2001,karnataka,mandya,0
2002,karnataka,mandya,0
2003,karnataka,mandya,0
2004,karnataka,mandya,2
2005,karnataka,mandya,0
2006,karnataka,mandya,0
2007,karnataka,mandya,0
2008,karnataka,mandya,0
2009,karnataka,mandya,0
2010,karnataka,mandya,0
2011,karnataka,mandya,0
2012,karnataka,mandya,1
2013,karnataka,mandya,4
2001,punjab,mansa,0
2002,punjab,mansa,0
2003,punjab,mansa,0
2004,punjab,mansa,0
2005,punjab,mansa,0
2006,punjab,mansa,0
2007,punjab,mansa,0
2008,punjab,mansa,0
2009,punjab,mansa,1
2010,punjab,mansa,1
2011,punjab,mansa,0
2012,punjab,mansa,0
2013,punjab,mansa,2
2001,uttarpradesh,mathura,50
2002,uttarpradesh,mathura,45
2003,uttarpradesh,mathura,36
2004,uttarpradesh,mathura,42
2005,uttarpradesh,mathura,63
2006,uttarpradesh,mathura,43
2007,uttarpradesh,mathura,50
2008,uttarpradesh,mathura,65
2009,uttarpradesh,mathura,42
2010,uttarpradesh,mathura,0
2011,uttarpradesh,mathura,0
2012,uttarpradesh,mathura,0
2013,uttarpradesh,mathura,0
2001,uttarpradesh,mau,27
2002,uttarpradesh,mau,22
2003,uttarpradesh,mau,69
2004,uttarpradesh,mau,22
2005,uttarpradesh,mau,47
2006,uttarpradesh,mau,38
2007,uttarpradesh,mau,32
2008,uttarpradesh,mau,44
2009,uttarpradesh,mau,31
2010,uttarpradesh,mau,0
2011,uttarpradesh,mau,0
2012,uttarpradesh,mau,0
2013,uttarpradesh,mau,1
2001,odisha,mayurbhanj,0
2002,odisha,mayurbhanj,0
2003,odisha,mayurbhanj,8
